,timestamp,prediction,actual,error
0,1970-01-01 00:00:00.000000137,19865.43625,20255.91015625,390.47390625000116
1,1970-01-01 00:00:00.000000138,19897.2129296875,19891.140625,-6.072304687499127
2,1970-01-01 00:00:00.000000139,20008.324609375,19771.98046875,-236.34414062499854
3,1970-01-01 00:00:00.000000140,20000.39796875,19653.310546875,-347.08742187499956
4,1970-01-01 00:00:00.000000141,20020.06546875,19683.310546875,-336.7549218749991
5,1970-01-01 00:00:00.000000142,20190.5565625,19464.01953125,-726.5370312500017
6,1970-01-01 00:00:00.000000143,20212.2622265625,19574.7109375,-637.5512890624996
7,1970-01-01 00:00:00.000000144,20275.1819921875,19794.619140625,-480.5628515624994
8,1970-01-01 00:00:00.000000145,20288.843671875,19611.380859375,-677.4628125000017
9,1970-01-01 00:00:00.000000146,20144.51578125,19680.390625,-464.12515625000015
10,1970-01-01 00:00:00.000000147,19992.919296875,20857.7890625,864.8697656250006
11,1970-01-01 00:00:00.000000148,19905.2896875,20753.75,848.4603124999994
12,1970-01-01 00:00:00.000000149,19828.538515625,20742.9296875,914.3911718749987
13,1970-01-01 00:00:00.000000150,19762.6617578125,20812.0390625,1049.3773046874994
14,1970-01-01 00:00:00.000000151,19602.701015625,20750.41015625,1147.7091406250001
15,1970-01-01 00:00:00.000000152,19735.151875,20661.890625,926.7387500000004
16,1970-01-01 00:00:00.000000153,19816.9912109375,20631.990234375,814.9990234375
17,1970-01-01 00:00:00.000000154,19740.363515625,20632.1796875,891.8161718750016
18,1970-01-01 00:00:00.000000155,20354.0328125,20593.119140625,239.08632812499854
19,1970-01-01 00:00:00.000000156,20642.0094140625,20475.470703125,-166.53871093750058
20,1970-01-01 00:00:00.000000157,20662.420390625,20250.0703125,-412.35007812500044
21,1970-01-01 00:00:00.000000158,20710.671015625,20421.890625,-288.780390625001
22,1970-01-01 00:00:00.000000159,20743.5219921875,20421.7109375,-321.81105468749956
23,1970-01-01 00:00:00.000000160,20689.921015625,20262.689453125,-427.231562500001
24,1970-01-01 00:00:00.000000161,20675.043828125,20316.099609375,-358.944218749999
25,1970-01-01 00:00:00.000000162,20665.64625,20378.240234375,-287.4060156250016
26,1970-01-01 00:00:00.000000163,20656.6187109375,20349.44921875,-307.1694921874987
27,1970-01-01 00:00:00.000000164,20599.4001171875,20367.869140625,-231.53097656249884
28,1970-01-01 00:00:00.000000165,20400.66953125,20823.560546875,422.89101562499854
29,1970-01-01 00:00:00.000000166,20327.5678515625,20862.76953125,535.2016796874996
30,1970-01-01 00:00:00.000000167,20359.4489453125,20843.060546875,483.61160156250116
31,1970-01-01 00:00:00.000000168,20388.914375,20879.109375,490.1949999999997
32,1970-01-01 00:00:00.000000169,20360.64703125,20816.2109375,455.5639062500013
33,1970-01-01 00:00:00.000000170,20281.6236328125,20944.970703125,663.3470703124985
34,1970-01-01 00:00:00.000000171,20319.0254296875,20894.58984375,575.5644140625009
35,1970-01-01 00:00:00.000000172,20360.4529296875,20993.0,632.5470703124993
36,1970-01-01 00:00:00.000000173,20783.613359375,20907.310546875,123.69718750000175
37,1970-01-01 00:00:00.000000174,20823.136796875,21222.9609375,399.82414062500175
38,1970-01-01 00:00:00.000000175,20820.1518359375,21282.119140625,461.96730468749956
39,1970-01-01 00:00:00.000000176,20851.9951953125,21212.5703125,360.57511718750175
40,1970-01-01 00:00:00.000000177,20830.115546875,21172.470703125,342.3551562499997
41,1970-01-01 00:00:00.000000178,20925.6316015625,21112.029296875,186.3976953124984
42,1970-01-01 00:00:00.000000179,20877.1908984375,21162.689453125,285.49855468749956
43,1970-01-01 00:00:00.000000180,20900.8173046875,21262.140625,361.32332031249825
44,1970-01-01 00:00:00.000000181,20933.1592578125,21241.029296875,307.87003906250175
45,1970-01-01 00:00:00.000000182,20933.46609375,21229.41015625,295.94406249999884
46,1970-01-01 00:00:00.000000183,21120.970859375,21002.240234375,-118.73062500000015
47,1970-01-01 00:00:00.000000184,21229.4262109375,21109.76953125,-119.65667968750131
48,1970-01-01 00:00:00.000000185,21220.2884375,21118.599609375,-101.68882812499942
49,1970-01-01 00:00:00.000000186,21186.9759765625,21135.919921875,-51.056054687498545
50,1970-01-01 00:00:00.000000187,21154.623515625,21176.880859375,22.257343749999563
51,1970-01-01 00:00:00.000000188,21162.92015625,21164.919921875,1.9997656250016007
52,1970-01-01 00:00:00.000000189,21196.8878515625,21137.470703125,-59.417148437500146
53,1970-01-01 00:00:00.000000190,21229.2027734375,21204.2890625,-24.913710937500582
54,1970-01-01 00:00:00.000000191,21174.9794140625,21313.919921875,138.94050781249825
55,1970-01-01 00:00:00.000000192,21080.00515625,21245.669921875,165.66476562499884
56,1970-01-01 00:00:00.000000193,21124.5438671875,21229.869140625,105.32527343749825
57,1970-01-01 00:00:00.000000194,21149.8848828125,21262.099609375,112.21472656249898
58,1970-01-01 00:00:00.000000195,21139.8140625,21171.359375,31.545312499998545
59,1970-01-01 00:00:00.000000196,21195.0165625,21178.939453125,-16.077109375000873
60,1970-01-01 00:00:00.000000197,21156.1526953125,21197.5,41.34730468750058
61,1970-01-01 00:00:00.000000198,21145.75375,21216.109375,70.35562500000015
62,1970-01-01 00:00:00.000000199,21236.7296875,21150.310546875,-86.41914062499927
63,1970-01-01 00:00:00.000000200,21279.8717578125,21196.359375,-83.51238281249971
